/* *** Track car shadow and horizon colour info *** */

/* colour RGB 0 - 255 (0 = no shadow or horizon) */
/* [normal],[weather],[night],[weather & night], */

/* shadow ******* horizon */

/* TR00 */
92,92,92,    128,128,128,
92,92,92,    100,100,100,
84,84,84,    64,64,64,
106,106,106,    64,64,64,

/* TR01 */
192,192,192,    128,128,128,
192,192,192,    128,128,128,
128,128,128,    0,0,0,
128,128,128,    0,0,0,

/* TR02 */
150,150,150,    128,128,128,
92,92,92,    100,100,100,
164,164,164,    64,64,64,
164,164,164,    64,64,64,

/* TR03 */
148,148,148,    128,128,128,
92,92,92,    100,100,100,
164,164,164,    64,64,64,
192,192,192,    64,64,64,

/* TR04 */
148,148,148,    128,128,128,
92,92,92,    100,100,100,
212,212,212,    64,64,64,
164,164,164,    64,64,64,

/* TR05 */
192,192,192,    128,128,128,
92,92,92,    100,100,100,
100,100,100,    64,64,64,
100,100,100,    64,64,64,

/* TR06 */
192,192,192,    128,128,128,
92,92,92,    100,100,100,
192,192,192,    64,64,64,
100,100,100,    64,64,64,

/* TR07 */
148,148,148,    128,128,128,
92,92,92,    100,100,110,
100,100,100,    64,64,64,
100,100,100,    64,64,64,

/* TR08 */
148,148,148,    128,128,128,
92,92,92,    100,100,100,
128,128,128,     64,64,64,
128,128,128,    64,64,64,

/* TR09 */
148,148,148,    128,128,128,
92,92,92,    100,100,100,
128,128,128,     64,64,64,
128,128,128,    64,64,64,

/* TR10 */
148,148,148,    128,128,128,
92,92,92,    100,100,100,
128,128,128,     64,64,64,
128,128,128,    64,64,64,

/* TR11 */
192,192,192,    128,128,128,
192,192,192,    128,128,128,
128,128,128,    0,0,0,
128,128,128,    0,0,0,
